,Sicoob Central Rondon,,,,,,,,,,,
,,,,,,,,,,,,
"Gerada por Murilo Henrique Jorge Deodati - Admin  Criado em : Feb 18, 2026 08:23 AM",,,,,,,,,,,,
Total de registros : 202,,,,,,,,,,,,
Produto,Local,Fornecedor,Tipo de produto,Associado aos ativos,Nome do ativo,Estado do ativo,Custo de Compra,Departamento,Código de barras,Usuário,Término do empréstimo,ID
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_72_4349_00.scr2008.local,In Store,-,-,-,-,-,757
OptiPlex 3060,SICOOB BURITIS,-,Desktop,-,sic_73_4349_00.scr2008.local,In Store,-,-,-,-,-,761
OptiPlex 3080,SICOOB BURITIS,-,Desktop,-,sic_74_4349_00.scr2008.local,In Store,-,-,-,-,-,1162
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_76_4349_00.scr2008.local,In Store,-,-,-,-,-,1273
Vostro 5490,SICOOB BURITIS,-,Laptop,-,sic_78_4349_00.scr2008.local,In Store,-,-,-,-,-,2058
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_79_4349_00.scr2008.local,In Store,-,-,-,-,-,1877
OptiPlex 3090,SICOOB BURITIS,-,Desktop,-,sic_81_4349_00.scr2008.local,In Store,-,-,-,-,-,1239
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_83_4349_00.scr2008.local,In Store,-,-,-,-,-,664
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_84_4349_00.scr2008.local,In Store,-,-,-,-,-,692
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_85_4349_00.scr2008.local,In Store,-,-,-,-,-,1146
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_86_4349_00.scr2008.local,In Store,-,-,-,-,-,1841
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_87_4349_00.scr2008.local,In Store,-,-,-,-,-,1055
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_88_4349_00.scr2008.local,In Store,-,-,-,-,-,2052
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_89_4349_00.scr2008.local,In Store,-,-,-,-,-,933
Alienware 16 Aurora AC16250,SICOOB BURITIS,-,Laptop,-,sic_90_4349_00.scr2008.local,In Store,-,-,-,-,-,626
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_91_4349_00.scr2008.local,In Store,-,-,-,-,-,1191
Dell Pro Micro QCM1250,SICOOB BURITIS,-,Desktop,-,sic_92_4349_00.scr2008.local,In Store,-,-,-,-,-,1095
Dell Pro Micro QCM1250,SICOOB BURITIS,-,Desktop,-,sic_93_4349_00.scr2008.local,In Store,-,-,-,-,-,1435
OptiPlex 3000,SICOOB BURITIS,-,Desktop,-,sic_95_4349_00.scr2008.local,In Store,-,-,-,-,-,1185
OptiPlex 3060,SICOOB BURITIS,-,Desktop,-,sic_96_4349_00.scr2008.local,In Store,-,-,-,-,-,815
Dell Pro Micro QCM1250,SICOOB BURITIS,-,Desktop,-,sic_97_4349_00.scr2008.local,In Store,-,-,-,-,-,1160
Latitude 3420,SICOOB BURITIS,-,Laptop,-,sic_98_4349_00.scr2008.local,In Store,-,-,-,-,-,1020
OptiPlex 3070,SICOOB BURITIS,-,Desktop,-,sic_99_4349_00.scr2008.local,In Store,-,-,-,-,-,1013
